ID,Job_Title,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Lower_Salary,Upper_Salary,Avg_SalaryK,job_title_sim,seniority_by_title,Degree,Skills,Average Salary ,Age
90,Jr. Business Data Analyst,4.7,webfx.com,"Harrisburg, PA","Harrisburg, PA",201 - 500,1997,Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),37,76,56.5,analyst,jr,Not specified,Excel,56.5,29
90,Jr. Business Data Analyst,4.7,webfx.com,"Harrisburg, PA","Harrisburg, PA",201 - 500,1997,Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),37,76,56.5,analyst,jr,Not specified,Google Analytics,56.5,29
91,Data Scientist,4.5,Johns Hopkins University Applied Physics Laboratory,"Laurel, MD","Laurel, MD",5001 - 10000,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),100,160,130,data scientist,Not Specified,Not specified,Python,130,84
91,Data Scientist,4.5,Johns Hopkins University Applied Physics Laboratory,"Laurel, MD","Laurel, MD",5001 - 10000,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),100,160,130,data scientist,Not Specified,Not specified,Excel,130,84
92,Data Analyst,4.3,Productive Edge,"Chicago, IL","Chicago, IL",51 - 200,2008,Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),55,100,77.5,analyst,Not Specified,Not specified,Excel,77.5,18
92,Data Analyst,4.3,Productive Edge,"Chicago, IL","Chicago, IL",51 - 200,2008,Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),55,100,77.5,analyst,Not Specified,Not specified,SQL,77.5,18
93,Data Engineer,4,Excella Consulting,"Arlington, VA","Arlington, VA",201 - 500,2002,Private,Consulting,Business Services,$50 to $100 million (USD),60,114,87,data engineer,Not Specified,Not specified,Python,87,24
93,Data Engineer,4,Excella Consulting,"Arlington, VA","Arlington, VA",201 - 500,2002,Private,Consulting,Business Services,$50 to $100 million (USD),60,114,87,data engineer,Not Specified,Not specified,AWS,87,24
93,Data Engineer,4,Excella Consulting,"Arlington, VA","Arlington, VA",201 - 500,2002,Private,Consulting,Business Services,$50 to $100 million (USD),60,114,87,data engineer,Not Specified,Not specified,Excel,87,24
93,Data Engineer,4,Excella Consulting,"Arlington, VA","Arlington, VA",201 - 500,2002,Private,Consulting,Business Services,$50 to $100 million (USD),60,114,87,data engineer,Not Specified,Not specified,SQL,87,24
94,Data Analyst,4.4,Gensco,"Tacoma, WA","Tacoma, WA",501 - 1000,1948,Private,Wholesale,Business Services,$100 to $500 million (USD),39,68,53.5,analyst,Not Specified,Not specified,Excel,53.5,78
95,Staff Data Scientist - Technology,3.2,Walmart,"Plano, TX","Bentonville, AR",10000+,1962,Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),106,172,139,data scientist,Not Specified,Master's,SQL,139,64
95,Staff Data Scientist - Technology,3.2,Walmart,"Plano, TX","Bentonville, AR",10000+,1962,Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),106,172,139,data scientist,Not Specified,Master's,Hadoop,139,64
96,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 - 500,2005,Private,Consulting,Business Services,$25 to $50 million (USD),86,142,114,data scientist,Not Specified,Master's,Python,114,21
96,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 - 500,2005,Private,Consulting,Business Services,$25 to $50 million (USD),86,142,114,data scientist,Not Specified,Master's,Spark,114,21
96,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 - 500,2005,Private,Consulting,Business Services,$25 to $50 million (USD),86,142,114,data scientist,Not Specified,Master's,AWS,114,21
96,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 - 500,2005,Private,Consulting,Business Services,$25 to $50 million (USD),86,142,114,data scientist,Not Specified,Master's,Excel,114,21
96,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 - 500,2005,Private,Consulting,Business Services,$25 to $50 million (USD),86,142,114,data scientist,Not Specified,Master's,SQL,114,21
96,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 - 500,2005,Private,Consulting,Business Services,$25 to $50 million (USD),86,142,114,data scientist,Not Specified,Master's,PyTorch,114,21
96,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 - 500,2005,Private,Consulting,Business Services,$25 to $50 million (USD),86,142,114,data scientist,Not Specified,Master's,TensorFlow,114,21
97,Data Scientist,4.2,goTRG,"Miami, FL","Miami, FL",501 - 1000,2008,Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),64,107,85.5,data scientist,Not Specified,Not specified,Python,85.5,18
97,Data Scientist,4.2,goTRG,"Miami, FL","Miami, FL",501 - 1000,2008,Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),64,107,85.5,data scientist,Not Specified,Not specified,Spark,85.5,18
97,Data Scientist,4.2,goTRG,"Miami, FL","Miami, FL",501 - 1000,2008,Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),64,107,85.5,data scientist,Not Specified,Not specified,Excel,85.5,18
97,Data Scientist,4.2,goTRG,"Miami, FL","Miami, FL",501 - 1000,2008,Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),64,107,85.5,data scientist,Not Specified,Not specified,SQL,85.5,18
97,Data Scientist,4.2,goTRG,"Miami, FL","Miami, FL",501 - 1000,2008,Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),64,107,85.5,data scientist,Not Specified,Not specified,Hadoop,85.5,18
98,Data Management Specialist,4.5,NMR Consulting,"Huntsville, AL","Chantilly, VA",51 - 200,1996,Private,IT Services,Information Technology,$25 to $50 million (USD),31,65,48,na,Not Specified,Not specified,Excel,48,30
98,Data Management Specialist,4.5,NMR Consulting,"Huntsville, AL","Chantilly, VA",51 - 200,1996,Private,IT Services,Information Technology,$25 to $50 million (USD),31,65,48,na,Not Specified,Not specified,SQL,48,30
98,Data Management Specialist,4.5,NMR Consulting,"Huntsville, AL","Chantilly, VA",51 - 200,1996,Private,IT Services,Information Technology,$25 to $50 million (USD),31,65,48,na,Not Specified,Not specified,Hadoop,48,30
100,E-Commerce Data Analyst,3.5,iSeatz,"New Orleans, LA","New Orleans, LA",51 - 200,1999,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,34,62,48,analyst,Not Specified,Not specified,Excel,48,27
100,E-Commerce Data Analyst,3.5,iSeatz,"New Orleans, LA","New Orleans, LA",51 - 200,1999,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,34,62,48,analyst,Not Specified,Not specified,SQL,48,27
102,Sr. Scientist II,3.5,Nektar Therapeutics,"San Francisco, CA","San Francisco, CA",201 - 500,1990,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),117,231,174,other scientist,sr,Master's,Excel,174,36
103,Insurance Data Scientist,3.9,TransUnion,"Atlanta, GA","Chicago, IL",5001 - 10000,1968,Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),64,106,85,data scientist,Not Specified,Not specified,Python,85,58
103,Insurance Data Scientist,3.9,TransUnion,"Atlanta, GA","Chicago, IL",5001 - 10000,1968,Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),64,106,85,data scientist,Not Specified,Not specified,Spark,85,58
103,Insurance Data Scientist,3.9,TransUnion,"Atlanta, GA","Chicago, IL",5001 - 10000,1968,Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),64,106,85,data scientist,Not Specified,Not specified,SQL,85,58
103,Insurance Data Scientist,3.9,TransUnion,"Atlanta, GA","Chicago, IL",5001 - 10000,1968,Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),64,106,85,data scientist,Not Specified,Not specified,SAS,85,58
106,Data Analyst / Scientist,4.2,Scientific Research Corporation,"Patuxent River, MD","Atlanta, GA",1001 - 5000,1988,Private,IT Services,Information Technology,$100 to $500 million (USD),52,93,72.5,analyst,Not Specified,Not specified,Excel,72.5,38
108,Data Scientist,3.2,MITRE,"McLean, VA","Bedford, MA",5001 - 10000,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),72,123,97.5,data scientist,Not Specified,Not specified,Python,97.5,68
108,Data Scientist,3.2,MITRE,"McLean, VA","Bedford, MA",5001 - 10000,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),72,123,97.5,data scientist,Not Specified,Not specified,Excel,97.5,68
108,Data Scientist,3.2,MITRE,"McLean, VA","Bedford, MA",5001 - 10000,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),72,123,97.5,data scientist,Not Specified,Not specified,SQL,97.5,68
108,Data Scientist,3.2,MITRE,"McLean, VA","Bedford, MA",5001 - 10000,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),72,123,97.5,data scientist,Not Specified,Not specified,SAS,97.5,68
